phantom,algorithm,n_angles,noise,rmse,ssim,dice
phantom_018.npy,SIRT,60,0.0,0.009275816295414541,0.9152969196391034,0.9978123135494502
phantom_018.npy,FBP,90,0.0,0.010586584416094062,0.7389178197315969,0.9935163679110705
phantom_018.npy,SIRT,90,0.0,0.007800846607463989,0.9407897763416746,0.9988882331141826
phantom_018.npy,FBP,120,0.0,0.008846428993023736,0.7911000713034515,0.9973327733269483
phantom_018.npy,SIRT,120,0.0,0.006966418237728369,0.9541206237230476,0.9993742693270354
phantom_018.npy,FBP,180,0.0,0.0071169897207621876,0.8484017989294548,0.9988630093138978
phantom_018.npy,SIRT,180,0.0,0.00620700324109412,0.9661363156297766,0.9995653764987398
phantom_019.npy,FBP,5,0.0,0.0617856038137362,0.5503931289790113,0.1782846228737621
phantom_019.npy,SIRT,5,0.0,0.03253743209509073,0.724593110423089,0.07439650160511616
phantom_019.npy,FBP,10,0.0,0.061785606049979465,0.5503931112262551,0.1782790951483282
phantom_019.npy,SIRT,10,0.0,0.032537433294667545,0.7245930800657694,0.07439650160511616
phantom_019.npy,FBP,20,0.0,0.04031075879939671,0.592473037289327,0.08211930878032038
phantom_019.npy,SIRT,20,0.0,0.023844634654314287,0.809846281835557,0.07539099119405356
phantom_019.npy,FBP,30,0.0,0.031823000552544986,0.6406346268904639,0.9507081051301164
phantom_019.npy,SIRT,30,0.0,0.019863304752457372,0.8663632083013841,0.07503594261417515
phantom_019.npy,FBP,60,0.0,0.0195780983802706,0.7512050288765038,0.9987440171085237
phantom_019.npy,SIRT,60,0.0,0.014246323420033027,0.9410033248872076,0.9793305774103214
